광역시코드,지역명,공급유형명,단지명,총세대수,전용면적,세대수,임대보증금,월임대료,최초입주년월
28,인천광역시 서구,국민임대,인천검단 AA-5블록 국민·영구임대주택,750,37.13,54,26446000,212300,202211
28,인천광역시 서구,국민임대,인천검단 AA-5블록 국민·영구임대주택,750,29.37,200,15095000,161100,202211
28,인천광역시 서구,국민임대,인천마전,621,46.22,353,17780000,178230,200404
28,인천광역시 서구,국민임대,인천마전,621,36.63,268,14003000,139230,200404
28,인천광역시 서구,국민임대,인천청라 4 LH,1255,59.95,168,44812000,384140,201109
28,인천광역시 서구,국민임대,인천청라 4 LH,1255,46.64,420,28706000,240090,201109
28,인천광역시 서구,국민임대,인천청라 4 LH,1255,36.86,406,17394000,150040,201109
28,인천광역시 서구,국민임대,인천청라 4 LH,1255,36.74,216,17394000,150040,201109
28,인천광역시 서구,국민임대,인천청라 4 LH,1255,36.66,45,17394000,150040,201109
28,인천광역시 옹진군,국민임대,옹진백령 마을정비형 공공주택,50,43.33,16,20152000,200380,202007
28,인천광역시 옹진군,국민임대,옹진백령 마을정비형 공공주택,50,33.07,28,9826000,153600,202007
28,인천광역시 옹진군,국민임대,옹진백령 마을정비형 공공주택,50,26.8,6,7707000,128870,202007
28,인천광역시 옹진군,국민임대,옹진연평 마을정비형 공공주택,40,46.79,6,21757000,215810,202210
28,인천광역시 옹진군,국민임대,옹진연평 마을정비형 공공주택,40,33.98,8,9004000,136740,202210
28,인천광역시 옹진군,국민임대,옹진연평 마을정비형 공공주택,40,29.75,16,7074000,111950,202210
28,인천광역시 옹진군,국민임대,옹진연평 마을정비형 공공주택,40,24.7,10,5690000,95990,202210
28,인천광역시 중구,국민임대,인천영종 A67블록 국민임대,457,46.01,139,50420000,261600,202203
28,인천광역시 중구,국민임대,인천영종 A67블록 국민임대,457,37.33,212,32903000,202060,202203
28,인천광역시 중구,국민임대,인천영종 A67블록 국민임대,457,29.07,106,18903000,153260,202203
28,인천광역시 중구,국민임대,인천영종1 LH,770,59.83,116,39614000,233270,
28,인천광역시 중구,국민임대,인천영종1 LH,770,46.13,129,25309000,148540,
28,인천광역시 중구,국민임대,인천영종1 LH,770,36.34,412,15405000,93520,
28,인천광역시 중구,국민임대,인천영종1 LH,770,29.75,113,12104000,78110,
28,인천광역시 중구,국민임대,인천영종7 LH,784,51.7,142,28583000,178080,
28,인천광역시 중구,국민임대,인천영종7 LH,784,46.13,129,23086000,136310,
28,인천광역시 중구,국민임대,인천영종7 LH,784,36.34,399,14291000,83540,
28,인천광역시 중구,국민임대,인천영종7 LH,784,29.75,114,10993000,71450,
41,경기도 가평군,국민임대,가평읍내2단지,335,51.64,71,22412000,125320,201009
41,경기도 가평군,국민임대,가평읍내2단지,335,51.45,25,22412000,125320,201009
41,경기도 가평군,국민임대,가평읍내2단지,335,41.05,165,15423000,84340,201009
41,경기도 가평군,국민임대,가평읍내2단지,335,33.13,74,10242000,57830,201009
41,경기도 고양시 덕양구,국민임대,고양삼송12(A12BL),1372,46.21,280,51461000,319070,201907
41,경기도 고양시 덕양구,국민임대,고양삼송12(A12BL),1372,37.25,528,32278000,239940,201907
