광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
41,1722,51.78,315,49854000,338380
41,1722,46.95,150,43990000,304540
41,1722,46.81,296,43990000,304540
41,1722,46.73,98,43990000,304540
41,1722,39.72,219,29551000,203030
41,1722,39.62,569,29551000,203030
41,1974,51.84,48,50679000,343970
41,1974,51.64,60,50679000,343970
41,1974,51.6,491,50679000,343970
41,1974,46.86,516,44717000,309580
41,1974,46.81,68,44717000,309580
41,1974,46.51,72,44717000,309580
41,1974,39.82,471,30040000,206380
41,1974,39.73,248,30040000,206380
41,1297,51.96,148,51188000,362870
41,1297,51.9,156,51188000,362870
41,1297,46.98,490,42776000,302800
41,1297,46.85,78,42776000,302800
41,1297,39.99,425,28598000,203050
41,775,51.96,91,47236000,307600
41,775,51.9,102,47236000,307600
41,775,46.98,285,38019000,258060
41,775,46.85,51,38019000,258060
41,775,39.99,246,24194000,183170
41,480,44.15,194,42583000,242000
41,480,26.52,286,15596000,142000
41,213,59.97,23,65199000,363350
41,213,59.85,34,65199000,363350
41,213,59.72,29,65199000,363350
41,213,39.78,127,36221000,204680
41,2334,46.99,660,52670000,265000
41,2334,37.6,96,33590000,203000
41,2334,37.43,564,33590000,203000
41,2334,26.83,120,17500000,141000
41,2334,26.73,894,17500000,141000
41,2018,46.77,515,50354000,279280
41,2018,46.49,199,50354000,279280
41,2018,36.96,564,23242000,218610
41,2018,29.92,502,18922000,170490
41,2018,26.85,238,16558000,153760
41,210,59.98,210,56822000,345870
41,534,51.96,74,43141000,283190
41,534,51.85,15,43141000,283190
41,534,46.97,190,33862000,250650
41,534,46.74,30,33862000,250650
41,534,36.97,225,19039000,157840
41,458,51.99,48,44348000,291110
41,458,46.97,164,34810000,257660
41,458,46.86,44,34810000,257660
41,458,36.98,202,19572000,162250
41,762,59.89,78,55433000,337410
41,762,51.96,101,43141000,283190
41,762,51.87,15,43141000,283190
41,762,46.97,200,33862000,250650
41,762,46.94,90,33862000,250650
41,762,36.97,278,19039000,157840
41,1005,59.93,82,56985000,346850
41,1005,51.99,230,44348000,291110
41,1005,46.95,344,34810000,257660
41,1005,36.98,349,19572000,162250
41,534,45.71,130,52237000,302930
41,534,37.64,156,35279000,239430
41,534,26.98,248,18488000,170720
41,127,59.15,32,63124000,367620
41,127,59.07,30,63124000,367620
41,127,39.31,65,36054000,198570
41,1185,59.57,86,25164000,310110
41,1185,51.88,204,21860000,269440
41,1185,46.22,342,19318000,227490
41,1185,45.88,28,19318000,227490
41,1185,45.76,15,19318000,227490
41,1185,36.63,510,15250000,172820
41,880,59.42,356,52129000,349870
41,880,46.66,316,33806000,211590
41,880,36.63,208,19030000,145370
41,100,33.98,25,18064000,197840
41,100,29.95,75,16666000,168810
41,980,51.98,112,38451000,263140
41,980,46.66,308,31242000,204260
41,980,36.63,504,18023000,144180
41,980,26.58,56,13216000,100920
41,980,59.42,216,50227000,342450
41,980,46.66,378,32443000,204260
41,980,36.63,320,18744000,144180
41,980,26.58,66,13216000,100920
41,1270,51.98,120,40613000,263140
41,1270,46.66,358,32443000,204260
41,1270,36.63,674,18744000,144180
41,1270,26.58,118,13216000,100920
41,375,46.75,136,39906000,271530
41,375,46.48,10,39906000,271530
41,375,36.87,138,24294000,165990
41,375,36.78,63,24294000,165990
41,375,36.76,28,24294000,165990
41,2289,51.94,367,55558000,348700
41,2289,46.75,670,42909000,291970
41,2289,36.87,756,26122000,178480
41,2289,36.76,160,26122000,178480
41,2289,26.95,336,18557000,126470
41,710,46.22,40,22491000,177380
41,710,45.88,440,22491000,177380
41,710,36.38,174,17701000,104540
41,710,36.02,56,17701000,104540
41,389,51.88,309,23560000,280540
41,389,51.67,80,23466000,279410
